***	PUNCT
START	PROPN
OF	NOUN
THE	NOUN
PROJECT	NOUN
GUTEN	NOUN
BERG	NOUN
EBOOK	PUNCT
阿Ｑ	NOUN
正傳	NOUN
***	PUNCT





	SPACE
Produced	VERB
by	ADP
Chi-Tang	PROPN
Lin	PUNCT






	SPACE
阿Ｑ	PROPN
正傳	NOUN


	SPACE
第一	NUM
章	NUM
　	SPACE
序	NOUN


　　	SPACE
我	PRON
要	VERB
給阿	ADP
Ｑ	PROPN
做	VERB
正	ADJ
傳﹐	NOUN
已	ADV
經	ADV
不止	ADV
一	NUM
兩	NUM
年	NUM
了	PART
。	PUNCT
但	ADV
一面	ADV
要	VERB
做	VERB
﹐	PUNCT
一面	ADV
又	ADV
往	ADV
回想	VERB
﹐這	PUNCT
足見	VERB
我	PRON
不是	ADV
一	NUM
個	NUM
〈	PUNCT
立言	VERB
〉	PUNCT
〔	PUNCT
２	NUM
〕	PUNCT
的	PART
人	NOUN
﹐	PUNCT
因	ADP
為從	ADP
來	VERB
不朽	VERB
之	PART
筆	NOUN
﹐	PUNCT
須傳	VERB
不朽	VERB
之	PART
人	NOUN
﹐於	ADV
是	VERB
人	NOUN
以	ADP
文傳	NOUN
﹐文	NOUN
以	ADP
人	NOUN
傳	VERB
──	PUNCT
究竟	ADV
誰	PRON
靠	VERB
誰	PRON
傳﹐	PUNCT
漸漸	ADV
的	PART
不	ADV
甚	ADV
瞭然	VERB
起	VERB
來﹐	PUNCT
而	ADV
終於	ADV
歸結	VERB
到	VERB
傳阿	NOUN
Ｑ﹐	PUNCT
彷彿	ADV
思想	NOUN
裡	PART
有	VERB
鬼	NOUN
似的	ADV
。	PUNCT


　　	SPACE
然而	ADV
要	VERB
做	VERB
這	DET
一	NUM
篇	NUM
速朽	ADJ
的	PART
文章	NOUN
﹐	PUNCT
才	ADV
下筆	VERB
﹐便	PUNCT
感到	VERB
萬分	NUM
的	PART
困難	NOUN
了	PART
。	PUNCT
第一	NUM
是	VERB
文章	NOUN
的	PART
名目	NOUN
。	PUNCT
孔子	PROPN
曰	VERB
：	PUNCT
“	PUNCT
名	NOUN
不	ADV
正	VERB
則言不順	VERB
”	PUNCT
〔	PUNCT
３	NUM
〕	PUNCT
。	PUNCT
這原	PRON
是	VERB
應該	VERB
極	ADV
注意	VERB
的	PART
。	PUNCT
傳	NOUN
的	PART
名目	NOUN
很	ADV
繁多	VERB
﹕列	ADJ
傳﹐	NOUN
自傳	NOUN
﹐內	PUNCT
傳〔	NOUN
４	NUM
〕	PUNCT
﹐外	PUNCT
傳﹐	NOUN
別傳	ADV
﹐家	NOUN
傳﹐	NOUN
小傳	NOUN
……	PUNCT
﹐	PUNCT
而	ADV
可惜	ADV
都	ADV
不合	VERB
。	PUNCT
〈	PUNCT
列傳	NOUN
〉	PUNCT
麼	PART
﹐這	PUNCT
一	NUM
篇	NOUN
並非	ADV
和	ADP
許多	NUM
闊人	NOUN
排	VERB
在	ADP
〈	PUNCT
正史	NOUN
〉	PUNCT
〔	PUNCT
５	NUM
〕	PUNCT
裡﹔	PUNCT
〈	PUNCT
自傳	NOUN
〉	PUNCT
麼﹐	PUNCT
我	PRON
又	ADV
並非	ADV
就是	ADV
阿Ｑ	PROPN
。	PUNCT
說	VERB
是	VERB
〈	PUNCT
外傳	NOUN
〉	PUNCT
﹐	PUNCT
〈	PUNCT
內傳	NOUN
〉	PUNCT
在	VERB
那	PRON
裡	PART
呢	PART
﹖	PUNCT
倘用	SCONJ
〈	PUNCT
內傳	NOUN
〉	PUNCT
﹐阿	PUNCT
Ｑ	PROPN
又	ADV
決	ADV
不是	ADV
神仙	NOUN
。	PUNCT
〈	PUNCT
別傳	NOUN
〉	PUNCT
呢	PART
﹐	PUNCT
阿Ｑ實	PROPN
在	ADP
未曾	NOUN
有	VERB
大	ADJ
總統	NOUN
上	VERB
諭	VERB
宣付	VERB
國史	NOUN
館立	NOUN
〈	PUNCT
本	DET
傳	NOUN
〉	PUNCT
〔	PUNCT
６	NUM
〕	PUNCT
──	PUNCT
雖說	SCONJ
英國	NOUN
正史	NOUN
上	PART
並無	VERB
〈	PUNCT
博徒	NOUN
列傳	NOUN
〉	PUNCT
﹐	PUNCT
而	ADV
文豪迭	NOUN
更	ADV
司〔	PUNCT
７	NUM
〕	PUNCT
也	ADV
做	VERB
過	PART
《	PUNCT
博徒	NOUN
別傳	NOUN
》	PUNCT
這	DET
一	NUM
部	NUM
書﹐	PUNCT
但	ADV
文豪則	NOUN
可﹐	VERB
在	ADP
我	PRON
輩卻	NOUN
不可	VERB
的	PART
。	PUNCT
其次	ADV
是	VERB
〈	PUNCT
家傳	NOUN
〉	PUNCT
﹐則	PUNCT
我	PRON
既	ADV
不知	VERB
與阿	ADP
Ｑ	PROPN
是否	ADV
同	ADV
宗﹐	PUNCT
也	ADV
未曾	ADV
受	VERB
他	PRON
子孫	NOUN
的	PART
拜託﹔	NOUN
或	CCONJ
〈	PUNCT
小傳	NOUN
〉	PUNCT
﹐	PUNCT
則阿	VERB
Ｑ	PROPN
又	ADV
更	ADV
無別	VERB
的	PART
〈	PUNCT
大傳	NOUN
〉	PUNCT
了	PART
。	PUNCT
總而言之﹐這	ADV
一	NUM
篇	NUM
也	ADV
便	ADV
是	VERB
〈	PUNCT
本	DET
傳	NOUN
〉	PUNCT
﹐	PUNCT
但	ADV
從	ADP
我	PRON
的	PART
文章	NOUN
著	VERB
想	VERB
﹐	PUNCT
因	ADP
為文	NOUN
體卑	NOUN
下﹐	PUNCT
是	VERB
“	PUNCT
引車	VERB
賣漿者	NOUN
流	VERB
”	PUNCT
所	PART
用	VERB
的	PART
話〔	NOUN
８〕﹐	PUNCT
所以	ADV
不	ADV
敢	VERB
僭稱	VERB
﹐便	PUNCT
從	ADV
不	ADV
入	VERB
三教九流	NOUN
的	PART
小	NOUN
說	NOUN
家〔	PUNCT
９	NUM
〕	PUNCT
所	PART
謂	VERB
“	PUNCT
閒話	VERB
休題	VERB
言歸	VERB
正傳	NOUN
”	PUNCT
這	DET
一	NUM
句	NUM
套話	NOUN
裡﹐	PUNCT
取出	VERB
〈	PUNCT
正傳	NOUN
〉	PUNCT
兩個	NUM
字來	NOUN
﹐作	PUNCT
為名	ADJ
目﹐	PUNCT
即使	ADV
與古人	NOUN
所	PART
撰	VERB
《	PUNCT
書法	NOUN
正傳	NOUN
》	PUNCT
〔	PUNCT
１０	NUM
〕	PUNCT
的	PART
〈	PUNCT
正	ADJ
傳	NOUN
〉	PUNCT
字面	NOUN
上	PART
很	ADV
相	ADV
