***	PUNCT
START	PROPN
OF	NOUN
THE	NOUN
PROJECT	NOUN
GUTEN	NOUN
BERG	PUNCT
EBOOK	PUNCT
狂人	NOUN
日記	NOUN
***	PUNCT










	SPACE
某君	DET
昆仲	NOUN
，	PUNCT
今隱	NOUN
其	PRON
名	NOUN
，	PUNCT
皆	ADV
餘	VERB
昔日	NOUN
在	VERB
中學	NOUN
時	PART
良友	NOUN
；	PUNCT
分隔	VERB
多年	ADV
，	PUNCT
消息	NOUN
漸闕	VERB
。	PUNCT
日前	NOUN
偶聞	VERB
其	PRON
一大病	NOUN
；	PUNCT
適歸	VERB
故鄉	NOUN
，	PUNCT
迂道	ADV
往訪	VERB
，	PUNCT
則	ADV
僅晤	ADV
一	NUM
人	NOUN
，	PUNCT
言病者	VERB
其弟	NOUN
也	PART
。	PUNCT
勞君	VERB
遠道	ADV
來視	VERB
，	PUNCT
然已	ADV
早愈	VERB
，	PUNCT
赴	VERB
某地	NOUN
候補	VERB
矣	PUNCT
。	PUNCT
因	ADP
大笑	NOUN
，	PUNCT
出示	VERB
日記	PROPN
二冊	NOUN
，	PUNCT
謂可見	PROPN
當日	NOUN
病狀	VERB
，	PUNCT
不妨	ADV
獻諸	VERB
舊友	NOUN
。	PUNCT
持	VERB
歸閱	NOUN
一	NUM
過	NUM
，	PUNCT
知	VERB
所	PART
患蓋	VERB
『	PUNCT
迫害狂	NOUN
』	PUNCT
之	PART
類	NOUN
。	PUNCT
語頗	NOUN
錯	VERB
雜無	VERB
倫次	VERB
，	PUNCT
又	ADV
多	ADV
荒唐之言	NOUN
；	PUNCT
亦	ADV
不	ADV
著	VERB
月日	NOUN
，	PUNCT
惟墨色	ADJ
字體不一	VERB
，	PUNCT
知非	VERB
一	ADV
時	NOUN
所	PART
書	VERB
。	PUNCT
間	PART
亦	ADV
有	VERB
略	ADV
具	VERB
聯絡者	NOUN
，	PUNCT
今撮	NOUN
錄	VERB
一	NUM
篇	NUM
，	PUNCT
以	ADP
供醫家	NOUN
研究	VERB
。	PUNCT
記中	VERB
語誤	NOUN
，	PUNCT
一字不易	VERB
；	PUNCT
惟人	ADV
名雖皆村人	VERB
，	PUNCT
不	ADV
為	X
世間	NOUN
所	PART
知	VERB
，	PUNCT
無關	VERB
大體	NOUN
，	PUNCT
然亦	ADV
悉易	ADV
去	VERB
。	PUNCT
至於	VERB
書名	NOUN
，	PUNCT
則本人	ADV
愈	ADV
後	PART
所	PART
題	VERB
，	PUNCT
不	ADV
復改	VERB
也	PART
。	PUNCT
七	NUM
年	NUM
四月	NOUN
二日	NOUN
識	VERB
。	PUNCT

　　	SPACE
一	NUM

　　	SPACE
今天	NOUN
晚上	NOUN
，	PUNCT
很	ADV
好的	VERB
月光	NOUN
。	PUNCT

　　	SPACE
我	PRON
不	ADV
見	VERB
他	PRON
，	PUNCT
已	ADV
是	VERB
三十多	NUM
年	NUM
；	PUNCT
今天	NOUN
見	VERB
了	PART
，	PUNCT
精神	NOUN
分外	ADV
爽快	VERB
。	PUNCT
纔	ADV
知道	VERB
以前	NOUN
的	PART
三十多	NUM
年	NUM
，	PUNCT
全	ADV
是	VERB
發昏	NOUN
；	PUNCT
然而	ADV
須	VERB
十分	ADV
小心	VERB
。	PUNCT
不然	ADV
，	PUNCT
那	DET
趙家	PROPN
的	PART
狗	NOUN
，	PUNCT
何以	ADV
看	VERB
我	PRON
兩眼	NUM
呢	PART
？	PUNCT

　　	SPACE
我	PRON
怕	VERB
得	PART
有理	VERB
。	PUNCT

　　	SPACE
二	NUM

　　	SPACE
今天	NOUN
全	ADV
沒	VERB
月光	NOUN
，	PUNCT
我	PRON
知道	VERB
不妙	VERB
。	PUNCT
早上	NOUN
小心	VERB
出門	VERB
，	PUNCT
趙貴翁	PROPN
的	PART
眼色	NOUN
便怪	VERB
：	PUNCT
似乎	ADV
怕	VERB
我	PRON
，	PUNCT
似乎	ADV
想害	VERB
我	PRON
。	PUNCT
還	ADV
有	VERB
七八	NUM
個人	NOUN
，	PUNCT
交頭	VERB
接耳	VERB
的	PART
議論	VERB
我	PRON
，	PUNCT
張著嘴	PROPN
，	PUNCT
對	ADP
我	PRON
笑	VERB
了	PART
一	ADV
笑	VERB
；	PUNCT
我	PRON
便	ADV
從頭	ADV
直冷	VERB
到	VERB
腳根	NOUN
，	PUNCT
曉	VERB
得	PART
他們	PRON
布置	NOUN
，	PUNCT
都	ADV
已	ADV
妥當	VERB
了	PART
。	PUNCT

　　	SPACE
我	PRON
可不	ADV
怕	VERB
，	PUNCT
仍	ADV
舊	ADV
走	VERB
我	PRON
的	PART
路	NOUN
。	PUNCT
前面	NOUN
一	NUM
伙	NUM
小	ADJ
孩子	NOUN
，	PUNCT
也	ADV
在	ADP
那	PRON
裡	PART
議論	VERB
我	PRON
；	PUNCT
眼色	NOUN
也	ADV
同趙	ADP
貴翁	NOUN
一	VERB
樣	VERB
，	PUNCT
臉色	NOUN
也	ADV
鐵青	VERB
。	PUNCT
我	PRON
想	VERB
我	PRON
同小	VERB
孩子	NOUN
有	VERB
什麼	DET
仇	NOUN
，	PUNCT
他	PRON
也	ADV
這樣	VERB
。	PUNCT
忍	VERB
不住	ADV
大	ADJ
聲說	NOUN
，	PUNCT
『	PUNCT
你	PRON
告訴	VERB
我	PRON
！	PUNCT
』	PUNCT
他們	PRON
可	ADV
就	ADV
跑	VERB
了	PART
。	PUNCT

　　	SPACE
我	PRON
想	VERB
：	PUNCT
我	PRON
同趙	VERB
貴翁	NOUN
有	VERB
什麼	DET
仇	NOUN
，	PUNCT
同路	NOUN
上	PART
的	PART
人	NOUN
又	ADV
有	VERB
什麼	DET
仇	NOUN
；	PUNCT
只有	ADV
廿年	NOUN
以前	PART
，	PUNCT
把	X
古久	PROPN
先生	NOUN
的	PART
陳年	PROPN
流水	NOUN
簿子	NOUN
	PUNCT
，	PUNCT
踹	VERB
了	PART
一	NUM
腳	NUM
，	PUNCT
古久	ADJ
先生	NOUN
很	ADV
不	ADV
高興	VERB
。	PUNCT
趙	PROPN
貴翁	NOUN
雖然	SCONJ
不	ADV
認識	VERB
他	PRON
，	PUNCT
一定	ADV
也	ADV
聽到	VERB
風聲	NOUN
，	PUNCT
代抱不平	VERB
；	PUNCT
約定路	NOUN
上	PART
的	PART
人	NOUN
，	PUNCT
同	ADP
我	PRON
作	VERB
冤對	NOUN
。	PUNCT
但是	ADV
小孩子	NOUN
呢	PART
？	PUNCT
那	DET
時候	NOUN
，	PUNCT
他	PRON
們還	PRON
沒有	ADV
出世	VERB
，	PUNCT
