***	PUNCT
START	PROPN
OF	NOUN
THE	NOUN
PROJECT	NOUN
GUTEN	NOUN
BERG	PUNCT
EBOOK	PUNCT
野草	NOUN
***	PUNCT





	SPACE
Produced	VERB
by	ADP
Hsiu	PROPN
Wen	PROPN
Wang	NOUN





	SPACE
野草	NOUN
/	PUNCT
魯迅	PROPN


	SPACE
《	PUNCT
野草	NOUN
》	PUNCT
題辭	NOUN


	SPACE
當	ADP
我	PRON
沈	ADV
默著	NOUN
的	PART
時候	NOUN
，	PUNCT
我	PRON
覺	VERB
得	VERB
充實	VERB
；	PUNCT
我	PRON
將	ADV
開口	VERB
，	PUNCT
同時	ADV
感到	VERB
空虛	VERB
。	PUNCT


	SPACE
過去	NOUN
的	PART
生命	NOUN
已	ADV
經	ADV
死亡	VERB
。	PUNCT
我	PRON
對	ADP
於這	ADV
死亡	VERB
有	VERB
大	ADJ
歡喜	NOUN
，	PUNCT
因為	ADP
我	PRON
藉此	ADV
知道	VERB
它	PRON
曾	ADV
經	ADV
存活	VERB
。	PUNCT
死亡	VERB
的	PART
生	NOUN

	SPACE
命	NOUN
已	ADV
經	ADV
朽腐	VERB
。	PUNCT
我	PRON
對	ADP
於這	ADJ
朽腐	NOUN
有	VERB
大	ADJ
歡喜	NOUN
，	PUNCT
因為	ADP
我	PRON
藉此	ADV
知道	VERB
它	PRON
還非	ADV
空虛	VERB
。	PUNCT


	SPACE
生命	NOUN
的	PART
泥委	NOUN
棄在	VERB
地面	NOUN
上	PART
，	PUNCT
不生	VERB
喬木	NOUN
，	PUNCT
只生	VERB
野草	NOUN
，	PUNCT
這	PRON
是	VERB
我	PRON
的	PART
罪過	NOUN
。	PUNCT


	SPACE
野草	NOUN
，	PUNCT
根本	NOUN
不	ADV
深	VERB
，	PUNCT
花	NOUN
葉	NOUN
不	ADV
美	VERB
，	PUNCT
然而	ADV
吸	VERB
取露	VERB
，	PUNCT
吸取	VERB
水	NOUN
，	PUNCT
吸取	VERB
陳死人	NOUN
的	PART
血和肉	NOUN
，	PUNCT
各	ADV
各	ADV
奪取	VERB
它	PRON

	SPACE
的	PART
生存	NOUN
。	PUNCT
當生	NOUN
存時	VERB
，	PUNCT
還	ADV
是	VERB
將遭	ADV
踐踏	VERB
，	PUNCT
將遭	ADV
刪刈	VERB
，	PUNCT
直至	VERB
於	ADP
死亡	NOUN
而	PART
朽腐	VERB
。	PUNCT


	SPACE
但	ADV
我	PRON
坦然	VERB
，	PUNCT
欣然	VERB
。	PUNCT
我	PRON
將	ADV
大笑	VERB
，	PUNCT
我	PRON
將	ADV
歌唱	VERB
。	PUNCT


	SPACE
我	PRON
自愛	VERB
我	PRON
的	PART
野草	NOUN
，	PUNCT
但	ADV
我	PRON
憎	VERB
惡這	VERB
以野	ADV
草作	NOUN
裝飾	VERB
的	PART
地面	NOUN
。	PUNCT


	SPACE
地火	NOUN
在	ADP
地下	NOUN
運行	VERB
，	PUNCT
奔突	VERB
；	PUNCT
熔岩	NOUN
一旦	SCONJ
噴出	VERB
，	PUNCT
將	ADV
燒盡	VERB
一切	DET
野草	NOUN
，	PUNCT
以及	CCONJ
喬木	NOUN
，	PUNCT
於是	ADV
並且	ADV
無	VERB
可	VERB
朽	VERB

	SPACE
腐	NOUN
。	PUNCT


	SPACE
但	ADV
我	PRON
坦然	VERB
，	PUNCT
欣然	VERB
。	PUNCT
我	PRON
將	ADV
大笑	VERB
，	PUNCT
我	PRON
將	ADV
歌唱	VERB
。	PUNCT


	SPACE
天地	NOUN
有	VERB
如此	ADV
靜穆	NOUN
，	PUNCT
我	PRON
不	ADV
能	VERB
大笑	VERB
而且	CCONJ
歌唱	VERB
。	PUNCT
天地	NOUN
即	SCONJ
不	ADV
如此	ADV
靜穆	VERB
，	PUNCT
我	PRON
或者	ADV
也	ADV
將	ADV
不	ADV
能	VERB
。	PUNCT
我	PRON
以	ADP
這	DET

	SPACE
一	NUM
叢	NUM
野草	NOUN
，	PUNCT
在	ADP
明與暗	VERB
，	PUNCT
生與	VERB
死	VERB
，	PUNCT
過	NOUN
去	NOUN
與	CCONJ
未	NOUN
來	NOUN
之	PART
際	NOUN
，	PUNCT
獻	VERB
於友	NOUN
與仇	ADV
，	PUNCT
人	NOUN
與獸	VERB
，	PUNCT
愛者	NOUN
與	CCONJ
不	ADV
愛者	VERB

	SPACE
之前	PART
作證	VERB
。	PUNCT


	SPACE
為	ADP
我	PRON
自己	PRON
，	PUNCT
為友	VERB
與仇	ADV
，	PUNCT
人	NOUN
與獸	VERB
，	PUNCT
愛者	NOUN
與不愛者	VERB
，	PUNCT
我	PRON
希望	VERB
這野草	NOUN
的	PART
朽腐	NOUN
，	PUNCT
火速	NOUN
到來	VERB
。	PUNCT
要不	ADV

	SPACE
然	ADV
，	PUNCT
我	PRON
先	ADV
就	ADV
未曾	ADV
生存	VERB
，	PUNCT
這實	ADV
在	ADV
比	ADP
死亡	NOUN
與	CCONJ
朽腐	NOUN
更其	ADV
不幸	VERB
。	PUNCT


	SPACE
去	VERB
罷	PART
，	PUNCT
野草	NOUN
，	PUNCT
連著	VERB
我	PRON
的	PART
題辭	NOUN
！	PUNCT


	SPACE
魯迅	PROPN
記於	NOUN
廣州	PROPN
之	PART
白	ADJ
雲樓	NOUN
上	PART


	SPACE
秋夜	NOUN


	SPACE
在	ADP
我	PRON
的	PART
後園	NOUN
，	PUNCT
可以	VERB
看見	VERB
晱~	PUNCT
有	VERB
兩	NUM
株樹	NOUN
，	PUNCT
一	NUM
株	NUM
是	VERB
棗樹	NOUN
，	PUNCT
還	ADV
有	VERB
一	NUM
株	NUM
也	ADV
是	VERB
棗樹	NOUN
。	PUNCT


	SPACE
這	DET
上面	NOUN
的	PART
夜	NOUN
的	PART
天空	NOUN
，	PUNCT
奇怪	VERB
而	CCONJ
高	VERB
，	PUNCT
我	PRON
生	NOUN
平沒	ADV
有	VERB
見過	VERB
這樣	ADV
奇怪	VERB
而	CCONJ
高	VERB
的	PART
天空	NOUN
。	PUNCT
他	PRON
彷彿	ADV
要	VERB
離開人	VERB

	SPACE
間	PART
而	PART
去	VERB
，	PUNCT
使	VERB
人	NOUN
們	NOUN
仰面	VERB
不	ADV
再	ADV
看見	VERB
。	PUNCT
然而	ADV
現	NOUN
在	NOUN
卻	ADV
非常	ADV
之	PART
藍	VERB
，	PUNCT
閃閃	VERB
地	PART
夾	VERB
著幾	PART
十	NUM
個	NUM
星星	NOUN
的	PART
眼	NOUN
，	PUNCT
冷	ADJ

